No Weight
Ch.#,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
9,11/27/2020,10:49:25 AM,"",0.031826,0.034102,0.05001,0.078308,0.083909,0.08991,0.16428,0.46454,0.49776,0.53336,1.738,1.9052,2.9179,4.9998,5.5783,8.1624,8.7942,9.6807,8.9871,7.9223,5.8868,4.8926,3.74,2.7416,2.4949,2.3803,0.55014,0.41097,0.2507,0,0,0,0.53399,0.031722,0.16424,0.7041,0.38263,0.50412,0.52715,0.35599,0.178,0.26566,0.40113,0.44255,0.31463,0.3508,0.0051934,0,0.178,0.010135,0.16786,0,0.178,0,0,0,0.35599,0,0,0.178,0,0,0,0.178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,11/27/2020,10:49:35 AM,"",0.063651,0.068204,0.086551,0.11746,0.12586,0.13486,0.17363,0.30969,0.33184,0.35557,1.793,1.9732,3.1612,5.6248,6.2644,9.0594,9.5634,9.4747,9.4337,9.223,5.1515,4.3225,3.5361,2.6132,1.4824,1.1844,0.31757,1.0223,0.34553,0.083168,0.22756,0.12843,0.2547,0.13301,0.35122,0.5272,0.72855,0.14129,0.178,0.28877,0.42322,0.53399,0.178,0.26073,0.27326,0,0.178,0.178,0,0.178,0,0,0.046508,0.13149,0,0.178,0.178,0.178,0.356,1.8281E-15,0,0.178,0,0.88999,0,0,0.356,0.178,0.356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11/27/2020,10:49:45 AM,"",0,0,0.042242,0.12279,0.13158,0.14099,0.17136,0.26979,0.28909,0.30976,1.6797,1.8494,2.9997,5.3901,5.9467,8.0641,8.6742,9.4741,9.5078,9.3944,6.9751,5.1713,3.347,2.243,1.113,2.1618,1.0024,1.1841,1.0164,0.086943,0.10363,0.41744,0.037165,0,0.19547,0.38383,0.61392,0.48148,0.18193,0.67818,0.15514,0.28729,0.13883,0.23332,0,0.18608,0.55823,0,0.18608,0.18608,0,0,0.18608,0,0,0,0.18608,0.37215,7.588E-16,0,0.37215,0.37215,0.37215,0.55823,0.18608,0,0,0,0.36834,0.18989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,11/27/2020,10:49:55 AM,"",0.063735,0.068294,0.14061,0.27444,0.29407,0.3151,0.28904,0.10337,0.11076,0.11868,1.2952,1.4308,2.8251,5.7887,6.4075,8.8917,9.4956,10.003,8.9192,7.3408,6.2077,4.0886,2.4613,2.837,2.1011,1.0296,0.43443,0.7703,0.37655,0.30592,0.10017,0.1286,0.35646,0.35646,0.21421,0.68704,0.16814,0.26906,0.61018,0.36838,0.61599,0.18473,0.090449,0.17823,0,0.17823,0,0.17823,0.17823,0,0,0.71293,0.17823,0,0,0,0,0.17823,0.35646,0,0.17823,0.35646,0.17823,0,0.17823,0.17823,0.17823,0,0.17823,0.15908,0.019153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,11/27/2020,10:50:05 AM,"",0,0,0.013505,0.039257,0.042065,0.045074,0.10668,0.36226,0.38817,0.41593,1.2459,1.3644,2.2919,4.2298,4.7291,7.0148,7.8212,10.016,9.0339,7.5876,6.8257,4.8509,3.2961,3.472,1.7899,1.031,0.35932,0.20603,0.22076,0.083388,0.17847,0,0,0.17847,0.027017,0.87542,0.81419,0.87286,0.61496,0.0079562,0,0.5354,0,0,0.17847,0,0,0.15272,0.02575,0,0.17847,0,0,0.35693,0.17847,0,0.2169,0.49697,0,0.35693,0,0.19792,0.33748,0,0,0,0,0,0,0.17847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,11/27/2020,10:50:15 AM,"",0,0,0.02701,0.078515,0.08413,0.090147,0.14525,0.36226,0.38817,0.41593,1.0612,1.1598,2.1947,4.3864,5.0692,9.0833,9.6848,10.119,9.7622,9.1288,6.224,4.8728,3.5018,2.5925,2.2818,1.4584,2.0489,2.6153,1.0393,0.55649,0.45724,0.2716,0.29102,0.13337,0.32513,0.17847,0.17847,0.26942,0.78548,0.19438,0.35694,0,0,0.17847,0.17847,0.52499,0.056797,0.13208,0,0.35694,0.17847,0,0.35694,0.5354,0.5354,0.17847,0.17847,0.31597,0.21944,0.17847,0.17847,6.0774E-15,0.71387,0.17847,0,0.13352,0.044948,0.35694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,11/27/2020,10:50:25 AM,"",0.095729,0.10258,0.082901,0.039257,0.042065,0.045073,0.087221,0.25876,0.27726,0.29709,1.5494,1.7055,3.2433,6.5013,7.0975,8.9034,9.6684,11.049,10.655,9.9586,7.5876,5.1502,3.427,3.8765,1.8734,2.4208,1.2546,1.6908,0.5672,0.4731,0.47755,1.0723,0.46387,0.21027,0.34314,0.33892,0.073614,1.0006,0.3535,1.6062,0.34126,0.28204,0.40219,0.22378,0.17847,0.70345,0.18888,0,0.35693,0,0.35693,0.3158,0.57653,0.35693,0.5354,0,0.5354,0.17847,0.17847,0,0.5391,0.17476,0,0.5354,0,0.17847,0,0.35693,0,0,0,0,0,0.17478,0.0036862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,11/27/2020,10:50:35 AM,"",0.063568,0.068114,0.11334,0.19551,0.2095,0.22448,0.24053,0.25774,0.27617,0.29592,1.1755,1.2911,2.3803,4.6812,5.3265,8.7788,9.4865,10.594,10.275,9.6833,6.5959,4.5769,3.3551,4.0597,2.304,1.9092,1.1742,1.2262,0.84908,0.56785,0.20297,0.42678,0.33633,0.75405,0.79378,0.36559,0.38213,0.85558,0.70368,0.35949,0.35553,0.17776,0.13263,0.75619,0.17776,0.52811,0.22915,0.96909,0.90105,0.21683,0.35553,0.53329,0.40198,0.66461,0.35553,0,0,0,0.88882,0.17776,0.53329,0.35553,0,0.35553,0.17776,0.31076,0.044771,0,0,0,0.17776,0,0,0,0,0.35553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,11/27/2020,10:50:45 AM,"",0.066358,0.071104,0.11832,0.2041,0.21869,0.23433,0.28145,0.43048,0.46127,0.49426,1.4896,1.6315,2.2558,3.5021,4.1449,8.3225,9.1344,10.951,10.236,9.1221,8.1715,6.5725,4.8997,3.9798,2.5684,1.9574,0.626,0.69223,0.13068,0.47776,0.84232,0.83259,0.074126,0,0.18557,0.20658,0.57396,0.52199,0.55313,0.37113,0.2702,0.10093,0,0.18557,0.3652,0.1915,0.23379,0.50847,0.18557,0.37113,0.18557,0.37113,0.41962,0.50821,0.74227,0.74227,0.039961,0.51674,0.41027,0.51756,0,0,0.19703,0.35967,0.18557,0.18557,0,0.18557,0,0.16563,0.019941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,11/27/2020,10:50:55 AM,"",0.063904,0.068474,0.11394,0.19655,0.2106,0.22567,0.26129,0.36274,0.38868,0.41648,1.679,1.8444,2.8562,4.9413,5.5657,8.6451,9.3115,10.236,10.247,10.091,6.2999,4.8793,3.8559,3.6117,1.8759,2.4126,1.0132,1.2855,0.88421,0.64072,0.10044,0.27195,0.035692,0,0.018035,0.52819,0.421,0.64454,0.52471,0.54408,0.69912,0.5518,0.31204,0.40278,0,0.1787,0.35741,0.35741,0.53611,0.54629,0.52594,0.67363,0.3986,0.1787,0.53611,0.1787,0.53611,0,0,0.35741,0.71481,0,0.1787,0.1787,0.14524,0.21217,0,0.35741,0,0,0,0.1787,0,0,0,0.1787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
