No Weight
Ch.#,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
29,11/27/2020,10:52:45 AM,"",0.033088,0.035455,0.13602,0.32566,0.34895,0.37391,0.38047,0.32198,0.34501,0.36968,1.6727,1.8393,2.5277,3.8987,4.4752,7.7402,8.46,9.9577,9.7092,9.2201,8.4039,6.8368,5.0983,3.9911,2.7784,2.8942,1.6636,0.69034,0.22891,0.88056,0.50132,0.2962,0.073923,0.03298,0.33714,0.010476,0.58287,0.61487,1.1852,0.3126,0.44001,0.18506,0.37012,0.043008,0.14205,0.36472,0.19046,0,0.18506,0.37012,0,0.74024,0.9253,0.18506,0,0.18506,0.079704,0.47547,0.18506,0,0,0.18506,0.18506,0.18506,0.33546,0.21971,0.40059,0.15459,0,0.16517,0.019886,0,0.18506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,11/27/2020,10:52:55 AM,"",0.095855,0.10271,0.20472,0.39309,0.42121,0.45133,0.49335,0.57002,0.61078,0.65447,2.1805,2.3909,3.1485,4.6275,5.3034,9.0953,9.4407,8.4783,8.6208,8.666,7.0296,5.6806,4.2803,3.5993,3.7522,2.3244,2.3609,2.3596,0.789,0.25049,0.45692,0.25789,0.40973,0.72618,0.49045,0.88559,0.38414,0.32398,1.2236,0.56001,0.26021,0.097198,0.13333,0.62301,0.67328,0.1787,0.22515,0.13226,0,0.1787,0.1787,0.13751,0.39859,0,0,0.3574,0.21719,0.31892,0,0,0,0.1787,0.01104,0.16766,0,0.1787,0,0.14723,0.21017,0,0.1787,0,0,0.17132,0.0073821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,11/27/2020,10:53:05 AM,"",0.12798,0.13713,0.14694,0.15744,0.16871,0.18077,0.24248,0.46699,0.50039,0.53618,1.562,1.71,2.591,4.398,4.9593,7.7547,8.4219,9.6283,8.9753,7.9642,7.7015,5.8955,3.9935,3.0756,1.826,1.5963,1.3242,1.0806,0.47337,0.23717,0.38325,0.1432,0.3689,0.59343,0.33502,0.35898,0.52669,0.36132,0.87929,0.99422,0.35193,0.097327,0.31245,0.58225,0.53682,0.35788,0.45089,0.26487,0.17894,0.53682,0.35788,0.35788,0.17894,0.17894,0.53682,0.17894,0.17894,0,0.53682,0.17894,0.17894,0.35788,0.17894,0.35788,0.35788,0,0.17894,0.11592,0.063019,0,0,0,0.17894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,11/27/2020,10:53:15 AM,"",0.095477,0.10231,0.19044,0.35239,0.37759,0.40459,0.44323,0.51615,0.55307,0.59262,2.1084,2.3134,3.1362,4.7655,5.3435,8.0727,8.826,10.402,9.6569,8.5135,6.7569,4.6263,3.2575,4.1078,2.714,3.4996,2.5181,2.5609,1.2873,0.55502,1.3956,0.39931,0.46825,0.31101,0.33325,0.77354,1.2489,0.99798,0.35257,0.35599,0.79317,0.36248,0.44632,0.178,0,0,0.40225,0.46205,0.20368,0,0,0.178,0.53399,0.35599,0.178,0.178,0.53399,0.178,0,0.35599,0.35599,0,0.35599,0.178,0,0,0,0,0.178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,11/27/2020,10:53:25 AM,"",0.095982,0.10285,0.20499,0.39361,0.42176,0.45193,0.50376,0.62266,0.66719,0.7149,2.1238,2.3257,3.1038,4.6336,5.1706,7.5744,8.4537,10.871,10.255,9.2717,6.3678,5.6337,5.1772,4.8546,2.0358,2.473,1.8266,1.4511,1.4508,0.62791,0.58347,0.53054,0.18996,0.62531,0.661,0.53792,0.45846,0.78398,0.70379,1.0856,0.34216,0.46172,0.26975,0.041586,0.84166,0.3641,1.1719,0.90317,0.43533,0.36807,0.29598,0.051706,0.53682,0.21783,0.49792,0.35788,0.35788,0.53682,0.17894,0.17894,0,0,0.35788,0.17894,0,0,0.35788,0,0.087636,0.091302,0,0,0,0,0,0.17894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,11/27/2020,10:53:35 AM,"",0.25393,0.2721,0.26469,0.23431,0.25106,0.26902,0.35602,0.66923,0.71709,0.76838,2.4766,2.7145,3.37,4.5971,5.2278,8.5882,9.0749,9.0389,9.1734,9.1987,6.4356,5.8006,4.9491,3.7159,2.8007,2.4422,1.5959,0.81977,0.97298,0.87182,0.22382,0.66843,0.83301,0.51225,0.35925,0.67428,0.036613,0.58985,0.61228,0.53654,0.69453,0.54818,0.35506,0.39632,0.48565,0.17802,0.40638,0.30892,0.27703,0.45331,0.76483,0.45766,0.88764,0.17753,0,0,0.17753,0.17753,0.17753,0.17753,0,0.17753,0.35506,0,0,0,0,0,0.26447,0.090583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,11/27/2020,10:53:45 AM,"",0.16589,0.17776,0.2326,0.32655,0.34991,0.37493,0.46246,0.75334,0.80722,0.86495,1.8229,1.9862,2.915,4.8052,5.3451,7.6679,8.3997,9.985,10.057,9.985,6.63,5.6045,4.8686,4.6521,3.3739,1.8539,1.7206,1.1756,0.81931,0.41937,0.87192,0.8618,0.41378,0.35731,0.69485,0.55898,0.38839,0.24186,0.63943,0.86602,0.62678,0.18557,0.18557,0,0.17963,0.37707,0.37113,0.5567,0.33035,0.41191,0,0.18557,0.5567,0.41147,0.3308,0.18557,0.5567,0,0,0.18557,0.5567,0.92783,0.18557,0,0.18557,0,0,0,0,0.36116,0.0099704,0,0,0.18557,0,0,0,0,0,0.18557,0.18557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,11/27/2020,10:53:55 AM,"",0.1912,0.20488,0.31394,0.50967,0.54612,0.58518,0.59788,0.51683,0.55379,0.5934,1.8653,2.0439,3.2383,5.7104,6.3318,8.8916,9.5756,10.518,10.037,9.2351,7.0532,5.5895,4.2541,3.8377,3.6272,2.9438,1.5362,1.4879,0.62757,0.45888,0.43228,0,0.15361,0.62284,0.48016,0.53579,0.41989,1.0901,0.96719,0.65356,0.067312,0.17557,0.57984,0.49221,0.17823,0.35126,0.22975,0.84483,0,0.37676,0.81936,0.051502,0.35646,0.17823,0.23915,0.652,0.71292,0.17823,0.35646,0.17823,0.35646,0.17823,0,0.35646,0.17823,0.17823,0,0,0,0,0,0,0,0,0.17823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,11/27/2020,10:54:05 AM,"",0.19171,0.20542,0.24716,0.31447,0.33697,0.36106,0.43561,0.67366,0.72184,0.77346,1.5068,1.6395,2.6611,4.7844,5.4304,8.8251,9.6008,11.063,11.081,10.922,7.9027,5.3533,3.4028,3.6484,3.0919,1.7625,1.3982,1.6981,1.0407,0.25049,1.0722,0.28602,0.48111,0.48379,0.36642,0.21015,0.8899,0.95116,0.61234,0.87771,0.99879,0.18521,0.090688,0.083062,0.27434,0,0.22515,0.48967,0.35741,0.36758,0.34723,0.1787,0.71481,0.35741,0.1787,0.1787,0.35741,0,0.61149,0.28202,0.1787,0.1787,0.1787,0.34685,0.18926,0.35741,0,0,0,0.1787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,11/27/2020,10:54:15 AM,"",0.15892,0.17028,0.19591,0.23461,0.25139,0.26937,0.37587,0.7732,0.8285,0.88776,1.3804,1.4949,2.4042,4.2911,4.9166,8.4204,8.8469,8.5365,8.5831,8.5023,6.8661,5.0595,3.5885,3.6933,3.5968,2.6014,1.507,1.3313,0.62592,0.30511,0.50493,0.25653,0.17776,0.24112,0.46993,0.36559,0.59655,0.45996,0.35156,0.47011,0.6815,0.62997,0,0,0,0.35034,0.36071,0.15211,1.0141,0.2559,0.17776,0.35552,0.71105,0.35552,0.17776,0.53329,0.17776,0.17776,7.2489E-16,0,0.53697,0.70736,0.17776,0,0.17776,0.35552,0,0,0.17776,0.15866,0.019102,0.27446,0.081064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,11/27/2020,10:54:25 AM,"",0.1273,0.13641,0.18657,0.27408,0.29368,0.31468,0.3663,0.51615,0.55306,0.59262,2.1084,2.3134,3.2092,4.9998,5.5701,8.0726,8.65,9.2686,9.1102,8.7499,6.8919,5.2182,4.0147,4.1995,2.4112,3.5989,1.292,1.0801,0.94175,0.47185,0.91115,0.81263,0.10665,0.20972,0.17322,0.69511,0.63404,0.69256,0.43931,0.29274,0.68239,0.54047,0.090329,0.041367,0.48693,0.36168,0.35599,0.178,0,0,0.53399,0.35599,0.4025,0.52617,0.4953,0.53399,0.178,0.178,0.35599,0,0.178,0,0,0,0,0.178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,11/27/2020,10:54:35 AM,"",0.15976,0.17118,0.22399,0.31447,0.33696,0.36106,0.45509,0.77729,0.83288,0.89244,1.8192,1.981,2.7093,4.1569,4.6841,7.2941,7.7677,8.0646,7.4046,6.4104,6.7501,5.1626,3.9719,4.3726,2.5257,2.8062,1.8747,1.5975,0.88092,0.15336,0.58178,0.94479,0.18408,0.70149,0.48143,0.3585,0.70469,0.26977,0.26235,0.4726,0.78229,0.62412,0.44809,0.22023,0.13717,0.1787,0.3574,0.15292,0.025783,0.90368,0.70463,0.49491,0.21989,0.61378,0.45842,0.1787,0.038482,0.49762,0.3574,0.1787,0.1787,0.1787,0.1787,0.3574,0.3574,0,0,0,0,0.1787,0,0,0,0.1787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,11/27/2020,10:54:45 AM,"",0.099673,0.1068,0.18475,0.327,0.35038,0.37544,0.45295,0.70048,0.75058,0.80426,2.1436,2.3441,2.9946,4.2409,4.8858,8.6147,9.114,9.1385,8.8275,8.2705,6.269,4.9318,3.903,4.0011,3.7925,3.2203,1.4376,2.778,1.609,1.2456,0.76633,0.26816,0.080075,0.5105,0.5431,0.37392,0.72224,0.83797,0.63616,0.49971,0.71239,0.47271,0.18582,0.18582,0,0.55746,0.37164,0,0.3308,0.43364,0.35048,0.18582,0.18582,0.18582,0.18582,0.24436,0.49892,0.55746,0.18582,0.18582,0.55746,0.55746,0,0,0,0,0,0,0,0,0,0.18582,0,0,0,0,0.18582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,11/27/2020,10:54:55 AM,"",0.030772,0.032973,0.13952,0.34072,0.36509,0.3912,0.52241,0.99814,1.0695,1.146,2.1184,2.3027,2.9852,4.3056,4.8983,8.0657,8.9673,11.352,10.774,9.8324,8.3627,6.1481,4.2341,4.096,3.5529,3.7189,2.6202,2.4203,0.94326,0.84519,0.56119,0.51028,0.10854,0.64493,0.16749,1.1884,0.23335,0.53304,1.1094,0.17978,0.59482,0.26572,0.85786,0.34689,0.1666,0.34972,0.51632,0,0.34421,0.0098,0.28468,0.049732,0.68843,0.34421,0.17211,0.17211,0.34421,0.68843,7.0183E-16,0.17211,0,0,0,0,0.17211,0.17211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,11/27/2020,10:55:05 AM,"",0.1329,0.1424,0.19477,0.28612,0.30658,0.32851,0.39253,0.59271,0.6351,0.68053,2.7801,3.0544,3.3745,3.8331,4.5769,9.5511,10.034,9.676,10.475,11.356,7.3531,5.7651,4.4806,3.9852,2.6154,2.7787,2.6025,2.294,0.72142,0.49259,0.95119,0.55094,0.22293,0.21893,0.33852,0.20686,0.61306,0.48438,0.91724,0.75156,0.45639,0.56422,0.094299,0.229,0.14263,0,0.46822,1.2041,0.18582,0,0.31794,0.42533,0.18582,0.18582,0.18582,0.55746,0.37164,0,0.18582,0.55746,0.37164,0.18582,0.55746,0,0,0.13902,0.10799,0.12463,0.18582,0,0,0,0,0.18582,0.18582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,11/27/2020,10:55:15 AM,"",0.12278,0.13156,0.17994,0.26434,0.28324,0.3035,0.36265,0.54759,0.58675,0.62871,1.8579,2.0343,2.6964,3.9933,4.4998,7.0072,7.6163,8.7406,9.4152,10.15,7.4533,5.2317,3.5075,3.5933,2.7787,3.5039,1.9466,2.4191,1.1206,0.38796,0.33942,0.37161,0.24565,0.12829,0.33007,0.52684,1.0062,1.2029,1.1836,0.35482,0.17167,0.85578,0.68925,0,0.33785,0.51549,0.52002,0,0.30561,0.21917,0.33357,0.17167,0.34334,0.34334,0.17167,0.34334,0.51501,0,0,0,0.85835,0.34334,0.17167,0.34334,0,0,0,0,0,0,0,0.17167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,11/27/2020,10:55:25 AM,"",0.031951,0.034236,0.19896,0.51101,0.54756,0.58672,0.58971,0.46637,0.49972,0.53546,1.4366,1.5711,2.319,3.8431,4.4383,7.9245,8.5715,9.6155,9.5817,9.3781,8.0302,6.9236,5.3039,3.4704,2.8088,2.3472,2.6448,1.947,0.72771,1.1843,0.53385,0.27195,0.6488,0.31224,0.14685,0.1787,0.1787,0.63403,0.79158,0.29389,0.24619,0.1787,0.1787,0.1787,0,0.35219,0.18391,0.33162,0.34391,0.57537,0.3574,0.3574,0.1787,0.5361,0,0.1787,0.3574,0,0.1787,0.1787,0.1787,6.0853E-15,0.1787,0.1787,0,0,0.058846,0.11985,0,0,0.1787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,11/27/2020,10:55:35 AM,"",0.15934,0.17073,0.15597,0.11762,0.12603,0.13504,0.20301,0.46514,0.49841,0.53405,2.3549,2.589,3.2129,4.3806,4.9232,7.5444,8.228,9.5902,9.2995,8.7614,7.8484,5.3228,3.0738,3.1797,4.6726,2.0934,1.4449,1.7888,0.34598,0.38919,0.86272,0.54247,0.24942,0.20999,0.52991,1.0525,0.73959,0.77041,1.1534,0.22184,0.49108,0.35646,0.17823,0.17823,0.35646,0.35646,0.22455,0.48837,0.13906,0.57386,0.48319,0.36688,0.9788,0.30989,0.53469,0.47365,0.63411,0.31808,0.17823,0,0.18193,0.35276,0.17823,0,0,0,0.17823,0,0,0,0.17823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,11/27/2020,10:55:45 AM,"",0.1329,0.1424,0.22289,0.36787,0.39418,0.42237,0.47284,0.59272,0.63511,0.68053,1.5624,1.7048,2.4366,3.9147,4.4423,7.2101,7.8594,9.1384,9.4705,9.7517,7.3623,5.1924,3.5383,3.6821,2.5063,3.6296,2.1496,1.7108,1.0503,0.98517,0.66285,0.29741,0.1543,0.32468,0.17146,0.3634,1.1427,0.80322,0.45919,0.48728,0.15493,0.65853,0.18582,0.043185,0.14263,0.18582,0.048293,0.13753,0,0.18582,0,0.37164,0.048552,0.32309,0.37164,0.308,0.43528,0,0.22501,0.14663,0.55746,6.3277E-15,0.18582,0,0,0,0.37164,0.18582,0,0,0,0,0,0.18582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,11/27/2020,10:55:55 AM,"",0.19045,0.20407,0.24553,0.31241,0.33475,0.35869,0.39402,0.46331,0.49645,0.53195,2.0395,2.2395,2.8852,4.1296,4.7839,8.6776,9.2664,9.7578,10.2,10.614,5.8286,5.2915,4.7023,3.7098,3.8834,4.8957,3.5587,2.7015,1.1926,1.4118,0.88135,1.2227,0.68535,0.47449,0.63311,0.87977,0.20409,1.032,0.17412,0.64306,0.067047,0.62002,0.5776,0.26386,0.49133,0.34988,0.36024,0.17753,0.35506,0.36516,0.52247,0,0.17753,0,0,0.17753,0.17753,0.53258,0.35506,0.17753,0.0036826,0.70643,0,0.17753,0.35506,0,0.17753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,11/27/2020,10:56:05 AM,"",0.22336,0.23934,0.29697,0.39257,0.42064,0.45073,0.50243,0.62101,0.66542,0.71301,1.6258,1.7737,2.4376,3.7597,4.3485,7.8241,8.1913,7.7442,8.7098,9.84,6.8675,5.4008,4.2011,3.8704,2.7842,1.9738,2.0393,1.3843,0.75735,0.79302,0.48254,0.12877,0.23072,0.87188,0.53061,0.69694,0.16836,0.27284,1.3254,0.29748,0.78126,0.62329,0.62596,0.26142,0.45244,0.17846,0.17846,0,0.31771,0.58478,0.1683,0.17846,0.17846,0.21725,0.31814,0.17846,1.0708,0.53539,0.17846,0.62082,0.62843,0.35693,0.36795,0.3459,0.17846,0,0.17846,0,0.35693,0,0,0.17846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,11/27/2020,10:56:15 AM,"",3.6105,3.8687,5.971,9.7486,10.446,11.193,12.968,18.033,19.323,20.705,22.555,24.182,27.182,31.843,33.866,33.769,35.96,37.325,39.582,41.905,42.171,43.146,44.166,45.407,44.154,40.136,43.356,41.946,43.561,41.534,44.082,42.134,41.476,40.826,40.404,43.1,39.496,42.324,41.735,35.25,35.698,34.262,30.047,29.176,24.253,28.285,27.286,23.547,21.558,21.301,19.683,16.323,17.354,16.004,14.988,19.158,15.225,13.425,12.786,11.29,8.1182,8.3612,7.5393,5.6968,4.0872,2.1779,2.6195,2.0166,1.7971,0,1.7314,0.413,0.3574,0.3574,0.5361,0.5361,0.5361,0,0,0,0,0,0,0,0,0.1787,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,11/27/2020,10:56:25 AM,"",11.838,12.685,16.01,21.591,23.136,24.79,27.974,35.967,38.539,41.295,53.482,57.647,62.038,67.049,71.664,75.004,79.663,81.573,84.267,86.426,89.88,93.05,95.699,97.384,93.623,94.897,97.107,92.506,92.338,100.09,93.074,89.218,96.923,94.508,87.63,87.812,88.098,88.363,80.054,82.206,78.352,74.05,70.581,75.106,68.905,63.843,60.192,55.85,50.965,49.12,52.441,47.495,45.673,42.992,36.929,33.907,30.302,30.203,25.213,23.945,21.457,17.026,9.9519,8.6791,7.2274,4.7404,3.479,3.5339,2.2218,2.1775,0.54499,1.0708,0.89233,0,0.5354,0.17847,0.17847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,11/27/2020,10:56:35 AM,"",11.296,12.104,17.169,26.106,27.973,29.974,34.044,44.661,47.855,51.278,61.654,66.311,70.712,75.038,80.938,92.001,97.811,100.68,105.15,109.31,110.25,111.35,110.65,109.66,114.82,118.19,107.42,109.21,119.4,110.27,105.33,112.25,110.91,105.64,100.04,103.65,103.95,92.585,90.197,87.74,99.319,83.575,83.71,79.767,74.489,69.285,75.027,62.403,61.903,54.442,52.243,47.55,44.091,52.783,37.462,34.577,33.014,29.652,24.769,21.73,17.553,18.299,12.233,7.9337,8.6085,3.7028,5.128,2.4339,1.5812,1.6098,0.5354,0.72956,0.5197,0.17847,0,0,0,0,0,0,0,0,0,0.35693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,11/27/2020,10:56:45 AM,"",13.193,14.137,19.251,28.158,30.172,32.33,36.989,49.601,53.149,56.95,68.156,73.293,78.892,85.297,91.157,95.305,102.32,110.72,113.69,115.73,115.84,122.47,126.85,126.26,128.26,116.22,118.7,118.31,117.21,114.95,111.34,112.05,105.99,111.81,106.12,104.36,104.81,102.63,98.371,93.354,96.751,91.209,77.577,79.613,72.877,70.102,69.357,63.998,59.253,53.639,49.826,50.985,46.387,42.205,41.807,38.138,35.006,27.135,27.473,22.08,17.391,14.949,14.708,10.891,6.5197,3.2025,3.663,2.0804,3.9458,1.2843,0.95168,0.74532,0,0.18633,0.37266,0,0.18633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,11/27/2020,10:56:55 AM,"",15.017,16.091,21.353,30.425,32.601,34.932,39.545,51.352,55.025,58.96,69.094,74.254,80.713,88.941,96.041,110.22,116,113.01,116.09,118.24,120.04,125.07,125.89,120.3,123.98,124.5,113.07,115.92,114.31,113.76,112.55,104.49,100.54,102.7,96.536,99.597,95.481,98.405,100.84,84.162,78.97,82.281,86.064,74.85,79.286,65.814,59.259,60.609,56.028,53.08,60.001,47.353,48.449,35.66,41.14,37.162,27.933,27.752,24.29,20.245,20.463,14.212,11.018,9.2055,6.5766,6.3651,2.8428,3.1579,1.906,0.62728,0.7148,0.3574,1.2509,0.34264,0.34142,0.030747,0.56716,0.32634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,11/27/2020,10:57:05 AM,"",14.889,15.954,21.504,31.132,33.359,35.745,40.991,55.343,59.301,63.542,75.174,80.811,87.715,96.392,103.04,107.97,115.08,120.04,121.05,120.37,125.42,129.46,131.35,129.05,117.67,122.33,124.27,124.3,117.65,121.28,115.4,112.08,109.09,104.65,97.76,101.85,96.179,87.959,86.568,92.406,82.41,82.171,72.416,72.26,71.988,62.971,61.664,53.29,58.53,50.635,55.485,46.877,42.453,43.74,34.334,31.879,29.751,28.462,23.554,18.476,18.419,14.85,11.94,7.1048,3.5616,6.6004,4.2118,2.2664,1.5171,0.96548,1.2701,0,0,0.1787,0,0,0,0.1787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,11/27/2020,10:57:15 AM,"",15.54,16.651,22.258,31.955,34.24,36.689,42.505,59.099,63.326,67.855,76.647,82.274,87.499,92.348,99.346,110.35,116.63,116.37,118.88,120.21,124.9,128.42,129.69,128.69,128.99,121.92,116.95,115.76,112.45,117.34,114.38,108.04,95.392,94.418,97.092,96.447,94.143,93.947,88.265,82.273,75.523,75.601,76.963,67.469,66.464,59.86,58.278,54.177,49.914,48.225,46.026,45.449,36.815,36.707,35.078,30.397,27.724,23.328,23.191,16.283,14.24,13.417,10.57,8.0785,6.3895,4.7955,3.8061,1.5749,3.4045,0.91274,0.38569,0.35693,0.69274,0.021119,0,0.17846,0,0.35693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,11/27/2020,10:57:25 AM,"",16.976,18.19,24.987,36.862,39.498,42.323,47.549,60.289,64.601,69.221,82.543,88.755,96.347,105.9,112.87,114.93,121.85,123.6,128.01,131.71,134.49,134,131.44,129.11,126.89,119.22,129.44,120.21,115.62,112.15,107.29,105.97,96.425,95.492,97.796,91.527,88.351,86.034,84.314,81.381,70.478,63.892,68.908,65.194,57.191,64.112,53.52,52.411,49.652,46.032,46.155,41.327,34.6,38.29,33.551,29.047,30.476,20.983,21.948,22.425,12.177,10.984,7.4339,6.5164,3.7794,4.2382,2.5119,1.6063,1.3225,1.5259,0.7337,0.5539,0.17846,0.17846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,11/27/2020,10:57:35 AM,"",15.585,16.7,23.751,36.2,38.789,41.563,46.636,58.892,63.104,67.617,81.576,87.746,95.503,105.5,112.48,114.96,121.68,122.33,125.81,128.31,131.47,130.93,127.94,124.42,121.93,126.56,114.04,107.12,111.52,108.41,110.63,99.954,96.997,99.195,86.506,85.482,82.165,79.387,78.009,80.867,71.026,65.589,70.375,57.694,55.329,49.636,54.528,46.638,41.387,44.02,39.49,42.386,31.946,35.896,31.191,28.408,24.915,23.844,19.707,16.865,11.48,11.216,7.2315,9.189,4.2921,3.5058,2.3796,2.1557,1.7192,0.35869,0.88764,0.5482,1.0495,0.35505,0,0.53258,0.015427,0.1621,0.17753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,11/27/2020,10:57:45 AM,"",17.533,18.787,25.65,37.615,40.305,43.188,48.58,61.835,66.257,70.996,87.69,94.388,101.93,110.9,118.05,118.71,125.83,127.47,132.77,137.58,135.3,132.52,128.8,127.7,126.09,126.06,117.81,112,112.27,111.94,101.59,101.59,94.576,88.532,90.432,86.421,79.464,83.644,75.196,77.552,74.214,68.422,68.597,59.084,58.5,54.323,47.756,46.858,43.256,45.465,40.087,37.782,34.527,30.215,30.498,32.085,22.958,25.614,17.908,17.346,11.046,8.2162,8.1812,7.0033,4.8012,4.5341,2.8209,1.5375,1.7835,0.55822,0.74429,0.55822,0.18607,0.18607,0.18607,0,0,0,0,0,0.37215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,11/27/2020,10:57:55 AM,"",16.029,17.175,24.375,37.078,39.729,42.571,47.215,57.387,61.492,65.889,79.18,85.159,91.494,98.561,105.21,108.74,116.65,125.68,130.65,135.03,128.4,132.06,132.87,128.58,128.92,120.24,109.68,112.76,105.68,102.65,101.29,98.331,94.64,86.747,82.197,84.067,75.039,76.434,74.242,68.875,63.865,61.463,56.894,58.619,57.211,46.632,48.416,43.977,43.419,41.474,40.536,36.858,32.971,33.077,31.488,25.604,26.166,15.976,18.232,13.47,12.159,6.8163,5.1833,4.598,3.8572,2.5606,2.5502,0.71574,2.0559,2.2193,0.55604,0,0.17894,0.35787,0,0,0.17894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,11/27/2020,10:58:05 AM,"",15.519,16.629,24.751,39.244,42.051,45.059,49.369,57.523,61.636,66.045,82.878,89.251,96.999,106.85,114.04,117.66,124.37,124.16,127.23,129.17,129.53,136.51,138.22,128.93,121.71,118.23,112.97,107.04,104.39,100.13,93.984,96.248,88.054,85.98,78.421,75.481,77.629,74.883,73.126,66.532,69.782,59.953,56.361,55.826,46.963,48.064,48.335,43.264,45.725,42.698,34.802,34.321,29.745,29.413,28.037,25.378,23.568,20.796,18.853,14.298,10.217,9.3419,7.0955,4.7366,2.8832,3.3864,2.1366,1.428,1.4222,0.53834,0,0.17823,0.35646,0,0.53469,0.17823,0,0,0,0.13955,0.21691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,11/27/2020,10:58:15 AM,"",14.57,15.612,22.421,34.473,36.939,39.581,45.296,60.783,65.13,69.788,84.518,90.921,97.13,103.45,110.37,113.55,121.58,129.76,134.81,139.25,136.62,131.23,125.52,125.18,123.75,118.87,120.98,108.1,100.44,99.406,95.03,93.855,85.891,81.139,75.915,78.507,71.268,68.179,65.984,66.353,61.202,57.045,54.712,53.623,46.127,45.924,43.258,42.078,43.887,36.591,34.573,37.171,32.985,27.075,23.32,22.24,19.528,21.619,16.678,13.601,10.53,9.3443,4.7801,6.7363,4.9243,2.3785,3.4991,2.0541,1.0125,0.62728,0.5361,0.9907,0.43889,0,0.5361,0,0,0.1787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
